,Star Rating,Title,lemmatized_tokens
0,4.0,Yes x3,"['skeptical', 'time', 'opened', 'n', 'saw', 'small', 'suction', 'used', 'car', 'dog', 'always', 'ride', 'shot', 'gun', 'n', 'car', 'full', 'fur', 'vacuumed', 'seat', 'floor', 'dash', 'console', 'door', 'heck', 'vacuumed', 'dog', 'wanted', 'see', 'good', 'vacuumed', 'loose', 'hair', 'right', 'cup', 'full', 'fur', 'review', 'right', 'side', 'brush', 'didnt', 'work', 'u', 'want', 'ant', 'extra', 'one', 'bigger', 'one', 'didnt', 'even', 'use', 'exta', 'accesseries', 'amazed', 'much', 'fur', 'picked', 'n', 'keep', 'car', 'still', 'plugged', 'ever', 'im', 'driving', 'n', 'im', 'red', 'light', 'vacuum', 'fur', 'thats', 'look', 'pretty', 'silly', 'red', 'light', 'getting', 'att', 'fur']"
1,4.0,Good device with some flaws,"['wish', 'wouldve', 'taken', 'picture', 'youll', 'take', 'word', 'initially', 'skeptical', 'vacuum', 'small', 'size', 'noticed', 'ton', 'review', 'though', 'mostly', 'decent', 'decided', 'pull', 'trigger', 'messy', 'toddler', 'second', 'baby', 'idea', 'able', 'plug', 'right', 'car', 'cleaning', 'really', 'appealing', 'also', 'really', 'like', 'idea', 'different', 'attachment', 'cleaning', 'nook', 'cranny', 'decided', 'night', 'get', 'give', 'shot', 'ill', 'say', 'initially', 'wasnt', 'overly', 'impressed', 'plugged', 'turned', 'yes', 'vehicle', 'running', 'thought', 'wow', 'thats', 'u', 'started', 'vacuuming', 'actually', 'pretty', 'impressed', 'youre', 'going', 'get', 'industrial', 'vacuumquality', 'device', 'however', 'like', 'said', 'want', 'able', 'take', 'time', 'house', 'car', 'cleaning', 'device', 'great', 'actually', 'pretty', 'good', 'job', 'cleaning', 'carpet', 'giving', 'car', 'refresh', 'loved', 'attachment', 'helped', 'get', 'space', 'id', 'never', 'access', 'vacuum', 'car', 'wash', 'counsel', 'seat', 'etc', 'hose', 'opinion', 'shaped', 'oddly', 'doesnt', 'work', 'well', 'loved', 'brush', 'straight', 'attachment', 'hose', 'plug', 'one', 'way', 'vacuum', 'face', 'different', 'direction', 'end', 'pretty', 'uncomfortable', 'trying', 'straighten', 'fish', 'nook', 'bad', 'though', 'personally', 'wont', 'using', 'attachment', 'much', 'like', 'includes', 'brush', 'filter', 'extra', 'filter', 'find', 'annoying', 'suction', 'power', 'lacking', 'even', 'smallest', 'amount', 'dirt', 'hair', 'stuck', 'filter', 'felt', 'though', 'constantly', 'emptying', 'dust', 'cup', 'even', 'shouldve', 'able', 'fill', 'lot', 'dirt', 'particle', 'like', 'stick', 'right', 'around', 'tip', 'suck', 'right', 'crack', 'opening', 'outer', 'plastic', 'annoying', 'holding', 'facing', 'giving', 'good', 'tap', 'sent', 'dust', 'rest', 'filter', 'good', 'notice', 'open', 'take', 'filter', 'dump', 'dust', 'rubber', 'ring', 'filter', 'get', 'dusty', 'make', 'difficult', 'seat', 'back', 'place', 'within', 'plastic', 'click', 'back', 'onto', 'actual', 'vacuum', 'tinkering', 'pretty', 'annoying', 'trying', 'get', 'seat', 'correctly', 'could', 'get', 'back', 'vacuuming', 'took', 'quite', 'complete', 'car', 'also', 'hadnt', 'vacuumed', 'would', 'say', 'really', 'good', 'also', 'flawed', 'device', 'nice', 'dont', 'like', 'go', 'car', 'wash', 'clean', 'car', 'small', 'messy', 'child', 'like', 'want', 'able', 'clean', 'pinch', 'home', 'device', 'mentioned', 'earlier', 'also', 'quite', 'good', 'nook', 'cranny', 'car', 'wash', 'vacuum', 'head', 'simply', 'reach', 'however', 'youre', 'expecting', 'professional', 'detailerquality', 'result', 'youll', 'likely', 'disappointed', 'vacuum', 'pretty', 'good', 'suction', 'power', 'stuff', 'almost', 'weaved', 'carpet', 'fiber', 'still', 'remains', 'perfect', 'would', 'say', 'quite', 'professional', 'quality', 'claim', 'state', 'box', 'also', 'claim', 'clean', 'wet', 'mess', 'however', 'tried', 'yet', 'sure', 'id', 'comfortable', 'testing', 'youre', 'looking', 'described', 'definitely', 'get', 'product', 'however', 'youre', 'looking', 'something', 'professional', 'grade', 'may', 'want', 'look', 'something', 'lot', 'powerful', 'happy', 'value', 'hope', 'get', 'lot', 'use']"
2,4.0,Great for quick clean ups,"['little', 'vacuum', 'better', 'expected', 'long', 'cord', 'dont', 'worry', 'reaching', 'entire', 'car', 'suction', 'could', 'better', 'using', 'deep', 'car', 'clean', 'quick', 'mess', 'clean', 'kid', 'would', 'recommend', 'anyone', 'life', 'beach', 'small', 'kid']"
3,4.0,"nice accessories for a car, but I prefer a more general dust buster","['color', 'blackverified', 'purchase', 'cute', 'moderately', 'effective', 'vacuum', 'lot', 'plus', 'cleaning', 'car', 'storage', 'bag', 'great', 'included', 'accessory', 'ideal', 'reaching', 'seat', 'suction', 'strong', 'enough', 'get', 'one', 'cashew', 'kid', 'somehow', 'wedged', 'cranny', 'easy', 'enough', 'clean', 'use', 'including', 'changing', 'filter', 'small', 'enough', 'travel', 'car', 'full', 'time', 'without', 'sacrificing', 'much', 'cargo', 'space', 'downside', 'car', 'specific', 'vacuum', 'specific', 'car', 'designed', 'plug', 'car', 'outlet', 'cant', 'easily', 'clean', 'spill', 'couch', 'find', 'car', 'vacuum', 'one', 'bit', 'small', 'cleaning', 'floor', 'car', 'size', 'somewhat', 'limit', 'suction']"
4,4.0,Works great with powerful suction!,"['vacuum', 'worked', 'great', 'husband', 'took', 'long', 'road', 'trip', 'messy', 'toddler', 'vacuum', 'picked', 'sort', 'crumb', 'hair', 'even', 'road', 'salt', 'cord', 'reach', 'way', 'front', 'back', 'midsize', 'suv', 'extra', 'length', 'spare', 'downside', 'product', 'vacuum', 'need', 'plugged', 'entire', 'time', 'use', 'car', 'charging', 'outlet', 'buy', 'product', 'would', 'spend', 'extra', 'money', 'buy', 'rechargeable', 'version', 'one', 'normal', 'outlet', 'convenience', 'would', 'love', 'able', 'use', 'inside', 'well', 'hard', 'reach', 'small', 'area', 'like', 'kitchen', 'drawer', 'thing', 'overall', 'recommend']"
5,4.0,Great Product!!!,"['rarely', 'give', 'star', 'product', 'product', 'perhaps', 'deserves', 'one', 'yet', 'feel', 'every', 'product', 'room', 'improvement', 'suction', 'power', 'excellent', 'note', 'product', 'really', 'deep', 'cleaning', 'simply', 'small', 'work', 'clean', 'well', 'size', 'various', 'attachment', 'work', 'wonderfully', 'cord', 'length', 'could', 'slightly', 'longer', 'use', 'suv', 'large', 'vehicle', 'storage', 'bag', 'little', 'small', 'making', 'bit', 'difficult', 'pack', 'everything', 'overall', 'great', 'product', 'recommend', 'product']"
6,4.0,Looks like described,"['first', 'used', 'worked', 'good', 'second', 'anthill', 'gradually', 'losing', 'suction', 'strength', 'nice', 'money', 'wish', 'suction', 'stronger']"
7,4.0,Awesome,"['mammy', 'jammy', 'bomb', 'diggidity', 'sucktion', 'great', 'hang', 'vacuum', 'hose', 'could', 'durable', 'get', 'job', 'done']"
8,3.0,Good for what it's worth...suction could be better,"['received', 'xmas', 'gift', 'really', 'appreciated', 'wife', 'know', 'like', 'keeping', 'car', 'clean', 'possible', 'review', 'brief', 'nothing', 'come', 'close', 'vacuum', 'cleaner', 'available', 'car', 'wash', 'vacuum', 'like', 'shop', 'vac', 'wish', 'worx', 'vacuum', 'cleaner', 'better', 'suction', 'pick', 'top', 'layer', 'loose', 'debris', 'fairly', 'easily', 'take', 'bit', 'elbow', 'grease', 'pick', 'lint', 'small', 'particle', 'get', 'fiber', 'carpet', 'nice', 'onthego', 'compact', 'car', 'vacuum', 'option', 'manufacturer', 'recommends', 'car', 'get', 'maximum', 'power', 'thisworx', 'didnt', 'feel', 'see', 'much', 'difference', 'car', 'plus', 'want', 'leave', 'car', 'running', 'minute', 'hard', 'suction', 'particle', 'recommend', 'using', 'brush', 'thats', 'included', 'really', 'giving', 'vacuum', 'good', 'stroke', 'across', 'carpet', 'surface', 'loosen', 'pick', 'pesty', 'particle', 'seemed', 'effective', 'way', 'really', 'put', 'vacuum', 'test', 'however', 'still', 'debris', 'left', 'behind', 'im', 'stickler', 'clean', 'car', 'negative', 'among', 'item', 'included', 'handy', 'bag', 'big', 'plus', 'small', 'hose', 'added', 'onto', 'vacuum', 'pick', 'trash', 'hardtoreach', 'place', 'hose', 'didnt', 'initially', 'much', 'took', 'pass', 'really', 'suck', 'trash', 'speaking', 'attachment', 'fit', 'easily', 'tightly', 'give', 'good', 'yank', 'take', 'foot', 'cord', 'huge', 'plus', 'really', 'nice', 'include', 'extra', 'filter', 'brush', 'clean', 'filter', 'overall', 'ok', 'light', 'weight', 'mini', 'vacuum', 'cleaner', 'would', 'recommend', 'buyer', 'beware', 'noting', 'feedback', 'stronger', 'suction', 'look', 'like', 'thisworx', 'offer', 'cordless', 'vacuum', 'cleaner', 'w', 'motor', 'im', 'assuming', 'stronger', 'one', 'gifted', 'hope', 'review', 'help', 'happy', 'cleaning']"
9,4.0,Very good car vac,"['first', 'time', 'use', 'excellent', 'cleaned', 'whole', 'car', 'really', 'well', 'lot', 'attachment', 'detailing', 'need']"
